### 3 connections

Peer 18 has an average response time of 27.14. Deltas: [3, 5, 2, 15, 25, 107, 108, 1, 5, 5, 2, 5, 6, 7, 1, 1, 11, 1, 5, 3, 0, 4, 8, 0, 1, 6, 9, 3, 1, 9, 147, 1, 4, 48, 2, 2, 7, 5, 2, 0, 2, 1, 10, 16, 3, 4, 6, 0, 3, 5, 2, 5, 7, 2, 1, 31, 36, 47, 8, 11, 1, 0, 11, 2, 9, 29, 7, 11, 4, 5, 7, 2, 11, 5, 12, 26, 12, 33, 13, 27, 38, 1, 1, 2, 2, 104, 110, 201, 0, 1, 2, 254, 258, 260, 2, 5, 8, 140, 152, 169]
Peer 16 has an average response time of 31.05. Deltas: [3, 4, 6, 1, 7, 3, 18, 7, 6, 7, 0, 3, 12, 1, 2, 10, 1, 1, 0, 3, 1, 5, 1, 37, 13, 35, 8, 56, 9, 49, 1, 16, 2, 3, 0, 1, 1, 5, 14, 4, 32, 48, 3, 1, 23, 0, 1, 2, 1, 2, 4, 2, 5, 10, 32, 35, 60, 3, 0, 16, 10, 14, 47, 12, 26, 9, 14, 41, 48, 57, 0, 0, 1, 1, 2, 3, 2, 5, 25, 17, 27, 70, 73, 84, 1, 0, 1, 39, 45, 407, 410, 434, 3, 7, 52, 22, 41, 127, 130, 162]
Peer 32 has an average response time of 27.88. Deltas: [7, 11, 20, 3, 0, 2, 4, 19, 26, 0, 4, 15, 6, 1, 3, 1, 12, 21, 5, 3, 22, 27, 58, 5, 43, 113, 3, 9, 14, 30, 3, 15, 1, 4, 7, 20, 8, 10, 19, 1, 0, 2, 3, 3, 2, 11, 21, 7, 16, 682, 164, 20, 54, 57, 0, 1, 1, 8, 24, 122, 10, 13, 132, 12, 43, 23, 13, 4, 76, 85, 19, 52, 62, 73, 1, 2, 2, 1, 2, 2, 1, 53, 60, 14, 91, 0, 12, 17, 43, 7, 2, 12, 8, 7, 0, 8, 3, 8, 41, 1]
Peer 12 has an average response time of 32.43. Deltas: [53, 512, 2, 8, 23, 1, 2, 22, 6, 16, 3, 5, 2, 7, 6, 2, 7, 14, 1, 1, 8, 22, 7, 15, 2, 0, 2, 9, 8, 1, 1, 4, 1, 2, 3, 3, 7, 17, 4, 15, 1, 4, 8, 23, 18, 1, 28, 33, 40, 45, 1, 3, 6, 9, 25, 1, 6, 11, 1, 5, 9, 3, 8, 18, 1, 3, 131, 149, 258, 1, 12, 129, 179, 0, 15, 223, 260, 1, 14, 114, 208, 1, 12, 47, 69, 1, 3, 4, 21, 1, 14, 22, 11, 46, 2, 24, 50, 67, 6, 13]
Peer 14 has an average response time of 33.59. Deltas: [11, 132, 9, 8, 0, 0, 3, 11, 1, 1, 1, 10, 15, 31, 0, 1, 1, 11, 414, 17, 37, 47, 18, 0, 9, 20, 0, 3, 13, 21, 2, 1, 12, 11, 5, 1, 4, 8, 5, 16, 1, 2, 2, 12, 102, 108, 115, 121, 1, 6, 4, 34, 106, 1, 134, 148, 2, 5, 7, 3, 6, 9, 1, 37, 83, 104, 113, 1, 6, 11, 2, 15, 19, 52, 2, 28, 117, 147, 6, 14, 4, 19, 29, 83, 91, 1, 1, 47, 81, 7, 26, 2, 30, 10, 105, 114, 2, 47, 45, 18]
Peer 42 has an average response time of 27.53. Deltas: [3, 18, 4, 26, 35, 62, 0, 19, 21, 3, 28, 2, 4, 16, 6, 4, 630, 631, 2, 1, 74, 75, 1, 10, 3, 6, 1, 7, 6, 0, 13, 13, 20, 98, 2, 18, 0, 2, 14, 18, 34, 22, 7, 31, 1, 0, 6, 5, 11, 39, 41, 50, 13, 7, 1, 18, 57, 1, 7, 30, 1, 4, 13, 4, 15, 23, 2, 7, 86, 25, 23, 24, 1, 6, 30, 1, 5, 18, 1, 11, 16, 26, 1, 1, 7, 14, 12, 12, 1, 0, 6, 27, 2, 10, 19, 5, 1, 4, 11, 1]
Peer 34 has an average response time of 68.14. Deltas: [9, 17, 23, 12, 23, 0, 3, 0, 2, 4, 5, 1, 3, 4, 22, 1, 8, 1, 3, 3, 18, 30, 36, 44, 1, 1, 7, 5, 1, 2, 7, 1, 6, 2055, 844, 14, 774, 15, 828, 642, 7, 23, 119, 19, 49, 73, 21, 49, 7, 17, 18, 11, 4, 30, 19, 4, 2, 88, 6, 37, 148, 23, 74, 45, 54, 24, 26, 57, 64, 3, 1, 5, 16, 1, 2, 3, 5, 1, 24, 9, 11, 31, 2, 1, 2, 2, 2, 10, 1, 0, 1, 3, 24, 5, 3, 32, 1, 8, 2, 10]
Peer 44 has an average response time of 23.05. Deltas: [18, 22, 21, 3, 1, 2, 6, 14, 8, 97, 0, 1, 8, 14, 10, 96, 4, 7, 1, 10, 4, 1, 2, 3, 0, 1, 3, 1, 0, 2, 6, 3, 0, 2, 181, 181, 2, 1, 39, 40, 1, 3, 16, 5, 2, 18, 14, 1, 6, 1, 4, 0, 31, 2, 13, 24, 2, 51, 132, 3, 22, 48, 2, 10, 20, 180, 3, 21, 59, 4, 16, 23, 24, 2, 14, 40, 3, 14, 7, 146, 0, 16, 3, 32, 61, 6, 11, 18, 154, 1, 20, 1, 21, 21, 54, 40, 2, 12, 30, 0]
Peer 36 has an average response time of 36.69. Deltas: [5, 67, 9, 2, 7, 5, 14, 2, 5, 3, 5, 1, 1, 3, 1, 5, 9, 35, 39, 40, 8, 95, 97, 100, 1, 5, 9, 11, 18, 18, 19, 0, 1, 2, 5, 42, 1, 82, 86, 90, 16, 520, 15, 1, 1, 2, 8, 151, 168, 16, 78, 24, 7, 21, 8, 94, 132, 0, 2, 5, 85, 94, 3, 68, 10, 21, 269, 387, 13, 6, 34, 0, 1, 0, 2, 22, 0, 1, 33, 0, 1, 2, 11, 1, 3, 1, 8, 5, 37, 42, 15, 94, 1, 6, 8, 28, 58, 38, 44, 0]
Peer 30 has an average response time of 38.46. Deltas: [4, 12, 37, 7, 16, 28, 34, 3, 6, 2, 1, 5, 12, 80, 89, 93, 3, 5, 3, 4, 5, 5, 5, 6, 13, 8, 1, 1, 5, 10, 2, 1, 5, 7, 1, 18, 1, 64, 3, 16, 18, 21, 7, 8, 1070, 1075, 4, 5, 7, 10, 9, 1, 126, 31, 1, 34, 34, 2, 7, 13, 6, 12, 1, 7, 8, 2, 1, 10, 1, 26, 61, 73, 3, 1, 9, 10, 5, 4, 1, 34, 2, 1, 26, 0, 0, 16, 25, 14, 212, 7, 88, 3, 14, 1, 13, 8, 17, 2, 5, 13]
